Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop Acer Nitro 5 Gaming AN515 57 5831 i5 11400H/8GB/512GB/6GB RTX3060/144Hz/Win10 (NH.QDGSV.003),31.990.000₫ *,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
LED Backlit
Acer ComfyView",,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",Acer TrueHarmony DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
Laptop Apple MacBook Pro M1 2020 8GB/256GB,34.990.000₫,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,28.990.000₫,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Apple MacBook Pro M1 2020 16GB/512GB,44.990.000₫,Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,512 GB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Acer Nitro 5 Gaming AN515 57 50FT i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (NH.QD8SV.003),26.490.000₫ *,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
LED Backlit
Acer ComfyView",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
Laptop HP Envy 13 ba1030TU i7 1165G7/8GB/512GB/Office H&S2019/Win10 (2K0B6PA),30.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (On board),2933 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,Full HD (1920 x 1080),60 Hz,"400 nits
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Bang & Olufsen audio,"2 x USB 3.1
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Tiêu chuẩn Nền Intel Evo",Có,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.9 mm - Nặng 1.236 kg,Vỏ kim loại nguyên khối,3-cell Li-ion,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Laptop Asus TUF Gaming FX706HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HX003T),26.690.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,17.3 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
Chống chói Anti Glare
250 nits",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS Audio,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm - Nặng 2.6 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2021
Laptop Asus TUF Gaming FX516PE i7 11370H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (HN005T),29.490.000₫,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync
250 nits",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Stereo speakers DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 7400 i5 1135G7/16GB/512GB/2GB MX350/Win10 (N4I5134W),30.090.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",14 inch,QHD+ (2560 x 1600),60 Hz,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce MX350, 2 GB",High Definition (HD) Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 321.7 mm - Rộng 224.5 mm - Dày 16.75 mm - Nặng 1.35 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 52 Wh",Windows 10 Home SL,2020
Laptop Acer Nitro 5 Gaming AN515 56 5256 i5 11300H/16GB/512GB/4GB GTX1650/144Hz/Win10 (NH.QBZSV.005),24.990.000₫ *,Intel Core i5 Tiger Lake - 11300H,4,8,3.10 GHz,Turbo Boost 4.4 GHz,8 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Acer ComfyView
LED Backlit
TFT",,Card rời - NVIDIA GeForce GTX 1650 4 GB,DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
