Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Công nghệ âm thanh,Thời gian pin,Bluetooth,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Giao tiếp mạng,Model,Loại ổ đĩa,Loại pin,Nơi sản xuất,Ổ đĩa quang,Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Thiết kế card,Wifi,Xuất xứ thương hiệu,Tốc độ CPU,Xuất xứ,Cổng internet (LAN),Loại RAM,Kết nối không dây khác,Cân nặng,Bus,Bộ nhớ đồ họa,Nhà sản xuất,Thời gian sạc,Hiển thị màu sắc
Microsoft Surface Pro 2018 - Core i5-8250U/8G/128GB - Hàng Chính Hãng,Microsoft,NewTechShop,22500000,Loa Stereo (Dolby Audio Premium),13.5 giờ sử dụng,4.1,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Intel UHD Graphics 620,MicroSDXC,8250U,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",Intel Core 8th Gen i5,29.21 x 20.142 x 0.85 mm,"267 ppi Touch, IPS",128GB,"Chuẩn WIFI: 802.11 ac
Kết nối không dây: Bluetooth 4.1",LGP-00001,SSD ,Lithium-Polymer,Trung Quốc,Không,775g,8GB,QHD+ (2736 x 1824),12.3 inch,Windows 10 Home,Tích hợp,802.11 a / b / g / n / ac,,,,,,,,,,,,
Laptop Dell Inspiron 14 5406 TYCJN1 (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB M.2 PCIe NVMe/ MX330 2GB GDDR5/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Dell,Tiki Trading,26365200,,,v5.1,HD camera with dual-array microphones,NVIDIA GeForce MX330 2GB GDDR5 + Intel Iris Xe Graphics,,,2 x USB 3.2 Gen 1 ports Type A; 1 x USB 3.2 Gen2 Type-C with DisplayPort; 1 x HDMI 1.4b port; 1 x SD-card slot; 1 x headset (headphone and microphone combo) port,Intel Core i7-1165G7 Processor,,14.0 Inch FHD Touch IPS 60Hz Wide Viewing Angle,512GB SSD M.2 PCIe NVMe,,,,,,,,8GB DDR4 3200MHz (1 x 8GB),Full HD (1920 x 1080),,,,Intel Wi-fi 6 2x2 (Gig+),Mỹ,"2.80GHz up to 4.70GHz, 4 nhân 8 luồng",Trung Quốc,,,,,,,,,
Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,46939000,HD Audio with DTS X Ultra,MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,BT 5.1,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i7 (Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC","
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch)",M.2(2280) Dual SSD slots - NVME: 256GB,,,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",16GB LPDDR4X (Dual Channel),,16 inch,Windows 10 Home (64bit),,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",Hàn Quốc,,Trung Quốc,,,,,,,,,
"Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K1004YVN (Core i5-11300H/ 8 GB DDR4 3200 MHz/ RTX 3050 4GB GDDR6/ 15.6 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Lenovo,Tiki Trading,22690000,Nahimic Audio,,v5.0,720p with Camera Shutter,"	NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1740MHz, TGP 90W",,,"1x USB-C 3.2 Gen 1 (support data transfer only), 2x USB 3.2 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1x headphone / microphone combo jack (3.5mm), 1x power connector",Core i5 11300H 3.1Ghz Up to 4.4Ghz-8Mb,,"IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5 SATA3),,15IHU6 82K1004YVN ,,3 Cell 45WHr,,,2.25 kg ,"8GB (8x1) DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",,15.6 inch,,,"	802.11AX (2x2)",Trung Quốc,,Trung Quốc,Ethernet (RJ-45),,,,,,,,
"Laptop Gigabyte AORUS 15P YD-73S1224GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ RTX 3080 8GB GDDR6/ 15.6 FHD IPS, 240Hz/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,73990000,"	DTS:X Ultra",,"	V5.2","	HD Camera","NVIDIA GeForce RTX 3080 8GB GDDR6 Boost Clock 1545MHz, Maximum Graphics Power 130W",,,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4, 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45",Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB,357 x 244 x27 (mm)," IPS-Level Anti-Glare Display LCD (240Hz, 72% NTSC)",1TB SSD M.2 PCIE G3X4 (2 Slots),,YD-73S1224GH,,"	4 Cell 99 WHrs",,,2.2hg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,,"	Windows 10 Home",,"	Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,,,,,,,,
Laptop LG Gram 2021 14ZD90P-G.AX51A5 (Core i5-1135G7/ 8GB LPDDR4X/ 256GB SSD NVMe/ 14 WUXGA IPS/ NonOS) - Hàng Chính Hãng,LG,Tiki Trading,33504000,HD Audio with DTS X Ultra,,v5.1,HD Webcam with Dual Mic,Intel Iris Xe Graphics,,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5 (Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W)",313.4 x 215.2 x 16.8 mm,IPS,256GB SSD,,14ZD90P-G.AX51A5,,72 Wh Li-Ion,,,999g,8GB LPDDR4X (Dual Channel),Full HD (1920 x 1080),14 inch,,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",Hàn Quốc,,Trung Quốc,,,,,,,,,
Laptop Asus ZenBook Flip 13 UX363EA-HP130T (Core i5-1135G7/ 8GB LPDDR4X Onboard/ 512GB SSD PCIE G3x4/ 13.3 FHD Touch IPS/ Win10) - Hàng Chính Hãng,Asus,Tiki Trading,26479000,Sonic Master,,v5.0,IR webcam with Windows Hello support,Intel Iris Xe Graphics,,Intel Core i5-1135G7,"2x Thunderbolt 4 supports display / power delivery, 1x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,30.5 x 21.1 x 1.19 ~ 1.39 (cm),"Touch, IPS, 60Hz, Wide 100% sRGB, Glossy display, 400 Nits",512GB SSD PCIE G3x4,,ZenBook Flip 13 UX363EA-HP130T,,4 Cell 67WHr,,,1.3 kg,8GB LPDDR4X on board,Full HD (1920 x 1080),13.3 inch,Windows 10 Home,,802.11 AX (2X2),Đài Loan,2.4GHz up to 4.2GHz,Trung Quốc,,LPDDR4X,,,,,,,
Microsoft Surface Laptop 2 - Core i5-8250U/RAM 8GB/ SSD 128GB - Hàng Chính Hãng,Microsoft,,30200000,Stereo microphones Omnisonic Speakers with Dolby Audio Premium,,,,,,,,,,,128B,,Microsoft Surface Laptop 2 ,,,,,,,,,,,,,,,,,,,,,,,
Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,Shopdunk Official Store,27090000,Stereo speakers,"* Up to 15 hours wireless web
* Up to 18 hours Apple TV app movie playback
* Built-in 49.9‑watt‑hour lithium‑polymer battery
* 30W USB-C Power Adapter",Bluetooth 5.0 wireless technology,"	720p HD",Apple M1 GPU 7 cores,,,,M1,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,256GB,,,SSD,lithium‑polymer,,Không,1.4 kg,8GB,,,Mac OS,,802.11ax Wi-Fi 6-Tương thích IEEE 802.11a / b / g / n / ac,Trung Quốc,,Trung Quốc,,8GB of 3733MHz LPDDR4X onboard memory,Wifi 802.11ac - Bluetooth 5.0,,,,,,
"Laptop Dell Inspiron 15 3511 P112F001ABL ( Intel Core i3-1115G4 , Ram (1x4GB) DDR4 2666MHz, 256GB M.2 PCIe NVMe SSD, 15.6'' FHD, Intel UHD Graphics, BT 5.0, WLAN 802.11ac, Win10 Home SL, H&S 2019, 1Y, Premium Support ) - Hàng Chính Hãng",Dell,Tiki Trading,14490000,,3 Cell 41WHr,BT 5.0,,Intel UHD Graphics,,,,"Intel Core i3-1115G4 (6MB Cache, 3.0GHz, Turbo Boost 4.1GHz)",Front height 18.99 mmWidth 358.5 mmDepth 235.56 mm,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,256GB M.2 PCIe NVMe SSD,,P112F001ABL,,3 Cell 41WHr,,,,,,,Win10 Home SL,,WLAN 802.11ac,Mỹ,,Trung Quốc,,4GB (1x4GB) DDR4 2666MHz,,~1.85 kg kg,,,,,
