brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,ppi,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,pentium,<1.8,<3.5,Intel,DDR4,4.0,2400.0,512 GB,14.0,< Full HD,VGA,0,Nhựa,Windows,Stereo,5.0,Wi-Fi 5,1.45,19.9,236.0,328.0,2020.0,111.93520355955212,0,0,0,0,0,0,0,0,12,8.5,8030000.0
Acer,i3,1.8-2.5,<3.5,Intel,DDR4,4.0,2400.0,256 GB,15.6,Full HD,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2019.0,141.21199808219862,0,0,0,0,0,0,0,0,12,3.0,8110000.0
Acer,i3,<1.8,<3.5,Intel,DDR4,8.0,2400.0,512 GB,15.6,Full HD,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2020.0,141.21199808219862,0,0,0,0,0,1,0,0,12,7.0,11330000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,8.0,2400.0,512 GB,15.6,Full HD,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2020.0,141.21199808219862,0,0,0,0,0,1,0,0,12,9.0,13190000.0
Acer,i5,1.8-2.5,3.5-4.2,Intel,DDR4,8.0,,512 GB,15.6,> Full HD,HD,0,Nhựa,Windows,Stereo,5.0,Wi-Fi 5,1.7,19.9,238.4,363.4,2021.0,145.1381712624093,0,0,0,0,0,0,0,0,12,9.5,14530000.0
Acer,i7,>2.5,>4.2,Intel,DDR4,8.0,,512 GB,15.6,> Full HD,HD,0,Nhựa,Windows,Stereo,5.0,Wi-Fi 5,1.7,19.9,238.4,363.4,2021.0,145.1381712624093,0,0,0,0,0,0,0,0,12,9.5,17090000.0
Acer,i5,1.8-2.5,3.5-4.2,NVIDIA MX,DDR4,8.0,,512 GB,15.6,> Full HD,HD,0,Nhựa,Windows,Stereo,5.0,Wi-Fi 5,1.7,19.9,238.4,363.4,2021.0,145.1381712624093,0,0,0,0,0,0,0,0,12,9.5,16240000.0
Acer,i3,>2.5,3.5-4.2,Intel,DDR4,4.0,2666.0,256 GB,14.0,Full HD,HD,0,Nhựa + kim loại,Windows,TrueHarmony,5.1,Wi-Fi 6,1.46,17.95,223.0,328.0,2020.0,157.3505121487356,0,0,0,0,0,0,0,1,12,5.5,10640000.0
Acer,R5,1.8-2.5,3.5-4.2,NVIDIA GTX,DDR4,8.0,3200.0,256 GB,15.6,Full HD,HD,0,Nhựa,Windows,TrueHarmony,5.0,Wi-Fi 6,2.1,22.9,254.5,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,1,12,7.5,16370000.0
Acer,i5,1.8-2.5,3.5-4.2,NVIDIA GTX,DDR4,8.0,2666.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,TrueHarmony,5.0,Wi-Fi 6,2.1,20.9,254.5,363.4,2020.0,141.21199808219862,1,0,0,0,0,0,0,1,12,6.0,17420000.0
Acer,i3,<1.8,<3.5,Intel,DDR4,4.0,2400.0,256 GB,15.6,Full HD,VGA,0,Nhựa,Windows,Stereo,5.0,Wi-Fi 5,1.7,19.9,247.5,363.4,2020.0,141.21199808219862,0,0,0,0,0,1,0,0,12,3.0,8850000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,4.0,2666.0,HDD 1 TB,14.0,< Full HD,HD,1,Nhựa + kim loại,Windows,Stereo,4.2,Wi-Fi 5,1.9,22.2,251.0,343.0,2018.0,104.9003414324904,0,0,0,0,0,0,0,0,12,3.5,11200000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,8.0,2666.0,512 GB,14.0,Full HD,HD,0,Nhựa + kim loại,Windows,TrueHarmony,5.0,Wi-Fi 6,1.5,17.95,236.0,328.8,2020.0,157.3505121487356,0,0,0,0,0,1,0,0,12,3.0,12540000.0
Acer,i5,<1.8,3.5-4.2,NVIDIA MX,DDR4,8.0,2666.0,512 GB,14.0,Full HD,HD,0,Nhựa + kim loại,Windows,TrueHarmony,5.0,Wi-Fi 6,1.5,17.95,236.0,328.8,2020.0,157.3505121487356,0,0,0,0,0,1,0,0,12,3.0,13650000.0
Acer,i5,1.8-2.5,3.5-4.2,Intel,DDR4,8.0,2666.0,HDD 1 TB,14.0,Full HD,HD,0,Nhựa + kim loại,Windows,TrueHarmony,5.1,Wi-Fi 6,1.46,17.95,223.0,328.0,2021.0,157.3505121487356,1,0,0,0,0,0,0,0,12,9.0,16570000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,4.0,2400.0,HDD 1 TB,15.6,Full HD,HD,1,Nhựa + kim loại,Windows,Stereo,4.2,Wi-Fi 5,2.0,22.45,257.5,363.4,2018.0,141.21199808219862,0,0,0,0,0,0,0,0,12,3.0,11060000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,4.0,2400.0,HDD 1 TB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,TrueHarmony,5.0,Wi-Fi 5,1.7,17.95,250.5,363.4,2019.0,141.21199808219862,0,0,0,0,0,0,0,0,12,6.0,11080000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,4.0,2133.0,HDD 1 TB,14.0,Full HD,VGA,3,Nhựa,Windows,TrueHarmony,4.0,Wi-Fi 5,1.85,23.7,248.0,343.0,2018.0,157.3505121487356,0,0,0,0,0,0,0,0,12,6.0,10290000.0
Acer,i7,1.8-2.5,3.5-4.2,NVIDIA MX,DDR3L,4.0,2133.0,HDD 1 TB,15.6,Full HD,VGA,3,Nhựa,Windows,TrueHarmony,4.0,Wi-Fi 5,2.23,30.4,259.0,381.6,2018.0,141.21199808219862,0,0,0,0,0,0,0,0,12,3.0,12390000.0
