Giá đã qua sử dụng,Hạn bảo hành,Tên,Giá mới,Phiên bản,Công nghệ CPU,Loại CPU,Số lõi,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,Tốc độ BUS,Dung lượng RAM,Loại RAM,Tốc độ RAM,Số khe cắm rời,Số khe RAM còn lại,Số RAM onboard,Hỗ trợ RAM tối đa,Kích thước màn hình,Loại màn hình,Độ phân giải,Tần số quét,Độ sáng,Tấm nền,Công nghệ màn hình,Độ phủ màu,Tỷ lệ màn hình,Độ tương phản,Màn hình cảm ứng,Hỗ trợ công nghệ Optane,Tổng số khe cắm SSD/HDD,Số khe SSD/HDD còn lại,Số loa,Công nghệ âm thanh,Mở khóa vân tay,Nhận diện khuôn mặt,Mật khẩu,Loại ổ đĩa quang,Ổ đĩa quang,Kiểu bàn phím,Bàn phím số,Loại đèn bàn phím,Công nghệ đèn bàn phím,Màu đèn LED,TouchPad,Loại PIN,PIN (Cell),PIN có thể tháo rời,Power Supply,OS,Type,Version,Phần mềm khác,Width (mm),Chất liệu mặt bên ngoài cùng,Depth (mm),Chất liệu khung màn hình,Height (mm),Chất liệu mặt bàn phím + kê tay,Trọng lượng (kg),Chất liệu mặt lưng,Bản lề (Hinge / Kickstand),Tản nhiệt,P/N,Năm ra mắt,Xuất xứ,Thời gian bảo hành
35.992.000đ,Thời gian bảo hành đến ngày 18/04/2022,Asus Zephyrus M GM501GM-EI005T/i7-8750H,Giá máy mới: 49.990.000 đ,Intel,Core i7,8750H,6,12,2.20 GHz,4.10 GHz,9 MB Smart Cache,8 GT/s,16 GB,DDR4,2666 MHz,2,1,0,64 GB,"15.6""",LED,1920 x 1080 Pixel,144 Hz,--,IPS,LED-backlit,100% sRGB,--,--,,--,--,--,--,--,Không,Không,Không,Không,Không,Chiclet Keyboard,Có,--,--,--,--,Lithium-ion,4 Cell,Không,--,Windows 10,64 bit,Home,Office 365 Activation,383,--,262,--,19.9,--,2.2,--,Ergolift,--,GM501GM-EI005T,2019,Trung Quốc,24 Tháng
29.920.000đ,Thời gian bảo hành đến ngày 01/04/2022,Macbook Pro 13 Touch Bar 256GB (2016),Giá máy mới: 43.999.000 đ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.359.000đ,Thời gian bảo hành đến ngày 17/10/2022,"Laptop Microsoft Surface Pro 7 i5 1035G4/8GB/256GB SSD/ 12.3"" Touch/Win 10",Giá máy mới: 30.399.000 đ,Intel,Core i5,1035G4,4,8,1.10 GHz,3.70 GHz,6 MB Smart Cache,4 GT/s,8 GB,LPDDR4X,3733 MHz,0,0,1,Không,"12.3""",LED,2736 x 1824 Pixel,60 Hz,395 nits,IPS Glossy,--,95% sRGB,3:2,--,Có,Không,--,0,2,Dolby Audio,Không,Có,Có,Không,Không,--,Không,Không,Không,Không,--,Lithium-ion,4 Cell,Không,65 W,Windows 10,64 bit,--,Không,201,Hợp kim Magie,8.5,Kim loại,292,--,0.775,Kim loại,--,--,--,2019,Trung Quốc,1 đổi 1 12 Tháng
25.652.000đ,Thời gian bảo hành đến ngày 19/10/2022,"Laptop Asus TUF Gaming FX506HCB-HN141T i7 11800H/8GB/512GB SSD/15.6"" FHD/Nvidia RTX3050 4GB/Win10",Giá máy mới: 28.499.000 đ,Intel,Core i7,11800H,8,16,2.30 GHz,4.60 GHz,24 MB Smart Cache,8 GT/s,8 GB,DDR4,3200 MHz,2,1,0,32 GB,"15.6""",LED,1920 x 1080 Pixel,144 Hz,250 nits,IPS,IPS LCD,62% sRGB,16:09,1000:1,,--,2,1,2,ASUS SonicMaster stereo,Không,Không,Có,Không,Không,Backlit Chiclet Keyboard,Có,LED,RGB per key,RGB,Multi-touch touchpad,Lithium-ion,3 Cell,Không,180 W,Windows 10,64 bit,Home,Không,359,ABS plastic,256,ABS plastic,22.9,ABS plastic,2.3,Kim loại,--,--,90NR0723-M04170,2021,Trung Quốc,24 Tháng
22.715.000đ,Thời gian bảo hành đến ngày 19/06/2022,Laptop Dell Inspiron N7490 i5 10210U/8GB/512GB/NVIDIA MX250 2GB/Win 10,Giá máy mới: 29.499.000 đ,Intel,Core i5,10210U,4,8,1.60 GHz,4.20 GHz,6 MB Cache,4 GT/s,8 GB,LPDDR3,2133 MHz,0,0,1,64 GB,"14.0""",LED,1920 x 1080 Pixel,60 Hz,300 nits,IPS,Truelife LED-Backlit,100% sRGB,16:09,--,,Không,1,0,2,Realtek ALC3204,Có,Không,Có,Không,Không,English International Backlit Keyboard,Không,LED,Đơn sắc,White,Multi-touch touchpad,Lithium-Polymer,4 Cell,Không,65 W,Windows 10,64 bit,Home Single Language,Office 365 (Dùng thử),319,Nhựa,208.5,Nhựa,17.9,Nhựa,1.32,Nhựa,Bản lề đôi,1 quạt,N4I5106W,2020,Trung Quốc,12 Tháng
20.801.000đ,Thời gian bảo hành đến ngày 27/09/2022,Laptop Acer Nitro Gaming AN515 57 51G6 i5 11400H/8GB/512GB SSD/RTX 3050 4GB/Win10,Giá máy mới: 25.999.000 đ,Intel,Core i5,11400H,6,12,2.60 GHz,4.40 GHz,12 MB Smart Cache,8 GT/s,8 GB,DDR4,3200 MHz,2,1,0,32 GB,"15.6""",LED,1920 x 1080 Pixel,144 Hz,--,IPS,Acer ComfyView LED-backlit,--,16:09,--,,Có,3,2,2,Acer TrueHarmony,Không,Không,Có,Không,Không,Bàn phím cứng,Có,LED,LEG RGB 4 Zone,RGB 4 Zone,Multi-touch touchpad,Lithium-ion,4 Cell,Không,--,Windows 10,64 bit,Home,Không,363.4,Nhựa,255,Nhựa,23.9,Nhựa,2.2,Nhựa,Bản lề đôi,2 quạt với 3 ống đồng tản nhiệt,NH.QD8SV.002,2021,Trung Quốc,12 Tháng
23.397.000đ,Thời gian bảo hành đến ngày 07/04/2022,Laptop Acer Nitro Gaming AN515 57 51G6 i5 11400H/8GB/512GB SSD/RTX 3050 4GB/Win10,Giá máy mới: 25.999.000 đ,Intel,Core i5,11400H,6,12,2.60 GHz,4.40 GHz,12 MB Smart Cache,8 GT/s,8 GB,DDR4,3200 MHz,2,1,0,32 GB,"15.6""",LED,1920 x 1080 Pixel,144 Hz,--,IPS,Acer ComfyView LED-backlit,--,16:09,--,,Có,3,2,2,Acer TrueHarmony,Không,Không,Có,Không,Không,Bàn phím cứng,Có,LED,LEG RGB 4 Zone,RGB 4 Zone,Multi-touch touchpad,Lithium-ion,4 Cell,Không,--,Windows 10,64 bit,Home,Không,363.4,Nhựa,255,Nhựa,23.9,Nhựa,2.2,Nhựa,Bản lề đôi,2 quạt với 3 ống đồng tản nhiệt,NH.QD8SV.002,2021,Trung Quốc,12 Tháng
19.998.000đ,Thời gian bảo hành đến ngày 28/09/2022,"Laptop MSI Bravo 15 B5DD 028VN R7 5800H/8GB/512GB SSD/15.6""FHD/RX5500M 4Gb/Win10",Giá máy mới: 24.999.000 đ,AMD,Ryzen 7,5800H,8,16,3.30 GHz,4.40 GHz,16 MB Smart Cache,,8 GB,DDR4,3200 MHz,2,1,0,64 GB,"15.6""",LED,1920 x 1080 Pixel,144 Hz,--,IPS,--,--,16:09,--,,--,1,0,2,Realtek High Definition Audio,Không,Không,Có,Không,Không,Backlit Keyboard,Có,--,Đơn sắc,Red,Multi-touch touchpad,Lithium-Polymer,3 Cell,Không,150 W,Windows 10,64 bit,Home Single Language,Không,359,ABS plastic,258,ABS plastic,25,--,2.35,ABS plastic,Bản lề đôi,2 quạt,028VN,2021,Trung Quốc,12 Tháng
19.250.000đ,Thời gian bảo hành đến ngày 19/02/2022,"Laptop Microsoft Surface Pro 7 i5 1035G4/8GB/128GB SSD/ 12.3"" Touch/Bàn phím/Win10",Giá máy mới: 27.499.000 đ,Intel,Core i5,1035G4,4,8,1.10 GHz,3.70 GHz,6 MB Smart Cache,4 GT/s,8 GB,LPDDR4X,3733 MHz,0,0,1,Không,"12.3""",LED,2736 x 1824 Pixel,60 Hz,395 nits,IPS Glossy,--,95% sRGB,3:2,--,Có,Không,--,0,2,Dolby Audio,Không,Có,Có,Không,Không,Gắn rời,Không,Không,Không,Không,Multi-touch touchpad,Lithium-ion,4 Cell,Không,65 W,Windows 10,64 bit,--,Không,201,Hợp kim Magie,8.5,Kim loại,292,--,0.775,Kim loại,--,--,--,2019,Trung Quốc,1 đổi 1 12 Tháng
19.250.000đ,Thời gian bảo hành đến ngày 19/02/2022,"Laptop Microsoft Surface Pro 7 i5 1035G4/8GB/128GB SSD/ 12.3"" Touch/Bàn phím/Win10",Giá máy mới: 27.499.000 đ,Intel,Core i5,1035G4,4,8,1.10 GHz,3.70 GHz,6 MB Smart Cache,4 GT/s,8 GB,LPDDR4X,3733 MHz,0,0,1,Không,"12.3""",LED,2736 x 1824 Pixel,60 Hz,395 nits,IPS Glossy,--,95% sRGB,3:2,--,Có,Không,--,0,2,Dolby Audio,Không,Có,Có,Không,Không,Gắn rời,Không,Không,Không,Không,Multi-touch touchpad,Lithium-ion,4 Cell,Không,65 W,Windows 10,64 bit,--,Không,201,Hợp kim Magie,8.5,Kim loại,292,--,0.775,Kim loại,--,--,--,2019,Trung Quốc,1 đổi 1 12 Tháng
