Tên,Giá,Bảo hành,Phiên bản,Công nghệ CPU,Số lõi,Số luồng,Dung lượng RAM,Loại RAM,Số RAM onboard,Hỗ trợ RAM tối đa,Kích thước màn hình,Loại màn hình,Độ phân giải,Tấm nền,Công nghệ màn hình,Độ phủ màu,Tỷ lệ màn hình,Hãng,Model,Dung lượng SSD,Giao tiếp & Kết nối,Số loa,Công nghệ âm thanh,Mở khóa vân tay,Mật khẩu,Kiểu bàn phím,Loại đèn bàn phím,Công nghệ đèn bàn phím,Màu đèn LED,TouchPad,Loại PIN,Dung lượng PIN,Hệ điều hành,Phần mềm khác,Width x Depth x Height (mm),Trọng lượng (kg):,Chất liệu mặt bên ngoài cùng:,Chất liệu khung màn hình:,Chất liệu mặt bàn phím + kê tay:,Chất liệu mặt lưng:
Laptop HP 240 G8 342A3PA,"11,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Acer Aspire 3 A315 58 3939,"11,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop ASUS D515DA EJ711T,"11,990,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Aspire 3 A315 56 37DV,"11,990,000₫",12 tháng,,,,,,,,,,,,,,,,,Acer Aspire 3 A315 56 37DV,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Dell Inspiron 15 3505 Y1N1T1,"12,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,Inspiron 15 3505 Y1N1T1,,,,,,,,,,,,,,Win 10 Home SL 64,,,,,,,
Laptop Lenovo IdeaPad 3 15ITL6 82H800M4VN,"13,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPTOP MSI Modern 14 B10MW 635VN,"13,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Acer Aspire 3 A315 56 502X,"13,790,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Vivobook X515EA BQ1006T,"13,990,000₫",24 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Modern 14 B11MOU 851VN,"14,190,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Dell Inspiron 3505 Y1N1T3,"14,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,Inspiron 15 3505 Y1N1T3,,,,,,,,,,,,,,Win 10 Home SL 64 + Office Home & Student 2019,,,,,,,
