Bảo hành cũ,Giá máy cũ,Tên,Giá máy mới,Bảo hành mới,Tiết kiệm,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Bảo hành: 3 tháng tại TGDD,49.130.000₫,MacBook Pro Touch 16 inch 2019 i7 2.6GHz/16GB/512GB/4GB Radeon Pro 5300M (MVVJ2SA/A),Giá máy mới: 59.990.000₫,Thời gian bảo hành: 1 năm,10.860.000₫ (18%),Intel Core i7 Coffee Lake,,,2.60 GHz,Turbo Boost 4.5 GHz,,,DDR4 (1 khe),2666 MHz,Không hỗ trợ nâng cấp,512 GB SSD,16 inch,Retina (3072 x 1920),,LED Backlit Tấm nền IPS,,"Card rời - Radeon Pro 5300M, 4 GB","Dolby Atmos, High‑fidelity six‑speaker",4 x Thunderbolt 3 (USB-C),Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Bảo mật vân tay,Có,Dài Dài 357.9 mm - Rộng Rộng 245.9 mm - Dày Dày 16.2 mm - Nặng 2.0 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2019
Bảo hành: 5 tháng tại TGDD,48.120.000₫,Apple Macbook Pro 2019 Touch i7 2.6GHz/16GB/256GB/ Radeon 555X (MV902SA/A),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i7 Coffee Lake,,,2.60 GHz,Turbo Boost 4.5 GHz,,16 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 256 GB NVMe PCIe,15.4 inch,Retina (2880 x 1800),,Tấm nền IPS LED Backlit,,Card rời - Radeon Pro 555X 4 GB,"Stereo, Mini Jack x 1 Loa kép (2 kênh)",4 x Thunderbolt 3 (USB-C),Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Bảo mật vân tay Touch Bar tích hợp cảm biến Touch ID,Có,Dài Dài 349.3 mm - Rộng Rộng 240.7 mm - Dày Dày 15.5 mm - Nặng 1.83 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,
Bảo hành: 7.5 tháng chính hãng,47.260.000₫,HP Envy 15 ep0145TX i7 10750H/16GB/1TB SSD/6GB GTX 1660Ti Max-Q/Office H&S2019/Touch/Win10 (231V7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i7 Comet Lake - 10750H,,,2.60 GHz,Turbo Boost 5.0 GHz,,16 GB,DDR4 (2 khe),2933 MHz,64 GB,1 TB SSD M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),,"60Hz
Tấm nền IPS
LED Backlit
400 nits",Có,"Card rời - NVIDIA GeForce GTX 1660Ti Max-Q, 6 GB",Bang & Olufsen audio,2 x Thunderbolt 3 (USB-C) 2x SuperSpeed USB A,Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 357.9 mm - Rộng 236.8 mm - Dày 18.4 mm - Nặng 2.14 kg,Vỏ kim loại nguyên khối,Li - Polymer 6 cell,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Bảo hành: 7.5 tháng chính hãng,47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,14%,Intel Core i7 Comet Lake - 10750H,,,2.60 GHz,Turbo Boost 5.0 GHz,,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,1 TB SSD M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms",,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
LED Backlit",,"Card rời - NVIDIA GeForce RTX 2060, 6 GB","DTS X:Ultra Audio
Bang & Olufsen audio
HP Audio Boost","3x SuperSpeed USB A
Thunderbolt 3
HDMI
LAN (RJ45)
Mini DisplayPort",Wi-Fi 6 (802.11ax) Bluetooth 5.0,SD,HD webcam,,Có,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Kim loại và polycarbonate,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Bảo hành: 7.5 tháng chính hãng,47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,14%,Intel Core i7 Comet Lake - 10750H,,,2.60 GHz,Turbo Boost 5.0 GHz,,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,1 TB SSD M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms",,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
LED Backlit",,"Card rời - NVIDIA GeForce RTX 2060, 6 GB","DTS X:Ultra Audio
Bang & Olufsen audio
HP Audio Boost","3x SuperSpeed USB A
Thunderbolt 3
HDMI
LAN (RJ45)
Mini DisplayPort",Wi-Fi 6 (802.11ax) Bluetooth 5.0,SD,HD webcam,,Có,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Kim loại và polycarbonate,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Bảo hành: 7.5 tháng chính hãng,47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,14%,Intel Core i7 Comet Lake - 10750H,,,2.60 GHz,Turbo Boost 5.0 GHz,,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,1 TB SSD M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms",,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
LED Backlit",,"Card rời - NVIDIA GeForce RTX 2060, 6 GB","DTS X:Ultra Audio
Bang & Olufsen audio
HP Audio Boost","3x SuperSpeed USB A
Thunderbolt 3
HDMI
LAN (RJ45)
Mini DisplayPort",Wi-Fi 6 (802.11ax) Bluetooth 5.0,SD,HD webcam,,Có,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Kim loại và polycarbonate,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Bảo hành: 23 tháng chính hãng,44.540.000₫,Asus ROG Zephyrus G14 Alan Walker GA401QEC R9 5900HS/16GB 1TB/4GB RTX3050Ti/120Hz/Túi/Win10 (K2064T),Giá máy mới: 49.990.000₫,chính hãng laptop 2 năm,5.450.000₫ (10%),AMD Ryzen 9 - 5900HS,8,16,3.00 GHz,Turbo Boost 4.6 GHz,16 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,24 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe 3.0 mở rộng (nâng cấp dung lượng không giới hạn) 1 TB SSD M.2 PCIe 3.0 (Có thể tháo ra, lắp thanh khác dung lượng không giới hạn)",14 inch,QHD (2560 x 1440),120 Hz,"100% DCI-P3
Chống chói Anti Glare
Công nghệ IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Công nghệ Smart AMP Dolby Atmos,"1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,Không tích hợp,Bảo mật vân tay,Có,Dài 324 mm - Rộng 220 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Bảo hành: 6 tháng chính hãng,43.930.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,chính hãng laptop 1 năm,9.060.000₫ (17%),Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 10 tháng chính hãng,45.800.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,chính hãng laptop 1 năm,9.060.000₫ (17%),Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 10.5 tháng chính hãng,46.040.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,chính hãng laptop 1 năm,9.060.000₫ (17%),Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
